created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2024-12-06T11:25:35+00:00,1,0,0,0,0.00000,0.00000,,,,
2024-12-06T11:25:54+00:00,2,215,263,237,7514.00000,171.00000,,,,
2024-12-06T11:26:13+00:00,3,516,448,281,3271.00000,333.00000,,,,
2024-12-06T11:26:33+00:00,4,140,124,98,4278.00000,78.00000,,,,
2024-12-06T11:26:52+00:00,5,338,311,200,3536.00000,234.00000,,,,
2024-12-06T11:27:11+00:00,6,381,350,225,3530.00000,264.00000,,,,
2024-12-06T11:27:31+00:00,7,382,348,220,3454.00000,264.00000,,,,
2024-12-06T11:27:50+00:00,8,299,273,183,3639.00000,199.00000,,,,
2024-12-06T11:28:10+00:00,9,119,140,124,7001.00000,91.00000,,,,
2024-12-06T11:28:26+00:00,10,287,262,180,3724.00000,188.00000,,,,
2024-12-06T11:28:46+00:00,11,239,194,124,3079.00000,137.00000,,,,
2024-12-06T11:29:06+00:00,12,276,245,154,3352.00000,184.00000,,,,
2024-12-06T11:29:28+00:00,13,139,160,140,6692.00000,104.00000,,,,
2024-12-06T11:29:45+00:00,14,1409,1127,753,3128.00000,770.00000,,,,
2024-12-06T11:30:10+00:00,15,186,231,206,7394.00000,153.00000,,,,
2024-12-06T12:09:06+00:00,16,0,0,0,0.00000,0.00000,,,,
2024-12-06T12:09:29+00:00,17,156,172,140,5580.00000,118.00000,,,,
2024-12-06T12:09:45+00:00,18,164,162,127,4751.00000,109.00000,,,,
2024-12-06T12:10:06+00:00,19,164,161,126,4710.00000,108.00000,,,,
2024-12-06T12:10:29+00:00,20,164,162,126,4694.00000,110.00000,,,,
2024-12-06T12:10:49+00:00,21,164,161,126,4710.00000,108.00000,,,,
2024-12-06T12:11:05+00:00,22,164,161,126,4710.00000,108.00000,,,,
2024-12-06T12:11:25+00:00,23,164,161,126,4710.00000,108.00000,,,,
2024-12-06T12:11:49+00:00,24,164,161,126,4710.00000,108.00000,,,,
2024-12-06T12:12:06+00:00,25,164,161,125,4654.00000,109.00000,,,,
2024-12-06T12:12:29+00:00,26,165,161,126,4682.00000,108.00000,,,,
2024-12-06T12:12:48+00:00,27,165,162,126,4667.00000,109.00000,,,,
